Round,Changes,Sum of Changes
1 to 2,118,246
2 to 3,120,250
3 to 4,133,296
4 to 5,124,280
5 to 6,126,286
6 to 7,115,238
7 to 8,122,256
8 to 9,134,304
9 to 10,124,258
10 to 11,134,286
11 to 12,120,266
12 to 13,124,266
13 to 14,121,274
14 to 15,132,284
15 to 16,128,274
16 to 17,121,256
17 to 18,123,270
18 to 19,129,290
19 to 20,120,280
20 to 21,132,302
21 to 22,130,302
22 to 23,122,286
23 to 24,126,274
24 to 25,127,280
25 to 26,128,308
26 to 27,130,290
27 to 28,128,286
28 to 29,118,256
29 to 30,127,270
Total,3636,8014
