Round,Changes,Sum of Changes
1 to 2,120,232
2 to 3,117,224
3 to 4,126,250
4 to 5,121,264
5 to 6,120,240
6 to 7,118,242
7 to 8,116,228
8 to 9,121,244
9 to 10,113,242
10 to 11,108,224
11 to 12,121,244
12 to 13,129,256
13 to 14,129,254
14 to 15,126,254
15 to 16,130,266
16 to 17,126,244
17 to 18,129,270
18 to 19,115,238
19 to 20,120,238
20 to 21,136,262
21 to 22,113,244
22 to 23,123,252
23 to 24,120,244
24 to 25,128,266
25 to 26,114,220
26 to 27,115,202
27 to 28,118,264
28 to 29,116,238
29 to 30,115,226
Total,3503,7072
