Round,Changes,Sum of Changes
1 to 2,119,240
2 to 3,127,258
3 to 4,116,236
4 to 5,122,262
5 to 6,121,248
6 to 7,121,256
7 to 8,110,236
8 to 9,123,248
9 to 10,126,276
10 to 11,122,242
11 to 12,116,226
12 to 13,126,262
13 to 14,130,268
14 to 15,124,254
15 to 16,124,258
16 to 17,124,264
17 to 18,123,240
18 to 19,126,250
19 to 20,117,228
20 to 21,121,252
21 to 22,112,210
22 to 23,116,230
23 to 24,118,226
24 to 25,120,244
25 to 26,124,254
26 to 27,117,220
27 to 28,125,270
28 to 29,119,236
29 to 30,116,248
Total,3505,7142
