Round,Changes,Sum of Changes
1 to 2,111,214
2 to 3,123,248
3 to 4,126,270
4 to 5,128,274
5 to 6,118,260
6 to 7,111,234
7 to 8,124,262
8 to 9,123,256
9 to 10,118,250
10 to 11,123,252
11 to 12,121,256
12 to 13,124,258
13 to 14,124,252
14 to 15,125,254
15 to 16,118,260
16 to 17,122,246
17 to 18,131,256
18 to 19,122,246
19 to 20,117,238
20 to 21,125,228
21 to 22,113,220
22 to 23,113,232
23 to 24,122,268
24 to 25,123,260
25 to 26,115,222
26 to 27,116,224
27 to 28,125,268
28 to 29,122,246
29 to 30,119,228
Total,3502,7182
