Round,Changes,Sum of Changes
1 to 2,121,238
2 to 3,115,262
3 to 4,119,246
4 to 5,121,248
5 to 6,127,274
6 to 7,124,256
7 to 8,127,256
8 to 9,129,266
9 to 10,120,244
10 to 11,118,242
11 to 12,119,256
12 to 13,127,270
13 to 14,114,230
14 to 15,119,242
15 to 16,118,228
16 to 17,118,246
17 to 18,126,270
18 to 19,130,258
19 to 20,126,254
20 to 21,125,272
21 to 22,124,236
22 to 23,131,252
23 to 24,123,236
24 to 25,120,252
25 to 26,114,220
26 to 27,113,238
27 to 28,122,256
28 to 29,118,256
29 to 30,118,232
Total,3526,7236
