Round,Changes,Sum of Changes
1 to 2,119,234
2 to 3,125,242
3 to 4,122,238
4 to 5,125,272
5 to 6,122,232
6 to 7,108,216
7 to 8,128,254
8 to 9,110,222
9 to 10,123,244
10 to 11,126,270
11 to 12,132,272
12 to 13,118,230
13 to 14,116,242
14 to 15,105,204
15 to 16,121,246
16 to 17,118,234
17 to 18,119,254
18 to 19,130,248
19 to 20,127,258
20 to 21,121,238
21 to 22,118,252
22 to 23,121,228
23 to 24,126,232
24 to 25,130,278
25 to 26,119,252
26 to 27,125,250
27 to 28,115,228
28 to 29,124,248
29 to 30,112,212
Total,3505,7030
