Round,Changes,Sum of Changes
1 to 2,120,244
2 to 3,119,236
3 to 4,117,232
4 to 5,120,228
5 to 6,112,226
6 to 7,121,226
7 to 8,123,240
8 to 9,118,236
9 to 10,116,230
10 to 11,126,268
11 to 12,122,248
12 to 13,117,248
13 to 14,122,244
14 to 15,121,242
15 to 16,118,228
16 to 17,122,268
17 to 18,122,252
18 to 19,120,238
19 to 20,124,264
20 to 21,116,234
21 to 22,128,270
22 to 23,132,262
23 to 24,123,252
24 to 25,118,242
25 to 26,114,226
26 to 27,124,240
27 to 28,119,240
28 to 29,125,254
29 to 30,117,232
Total,3496,7050
