Round,Changes,Sum of Changes
1 to 2,123,250
2 to 3,119,240
3 to 4,119,234
4 to 5,119,248
5 to 6,134,284
6 to 7,119,262
7 to 8,112,218
8 to 9,123,260
9 to 10,109,222
10 to 11,121,244
11 to 12,120,260
12 to 13,111,222
13 to 14,121,248
14 to 15,121,254
15 to 16,126,260
16 to 17,117,252
17 to 18,111,224
18 to 19,114,226
19 to 20,121,242
20 to 21,123,282
21 to 22,114,238
22 to 23,133,270
23 to 24,110,228
24 to 25,125,252
25 to 26,123,248
26 to 27,126,254
27 to 28,117,222
28 to 29,125,264
29 to 30,120,242
Total,3476,7150
